mall,outlet,lot,status,myehalal_matches,cert_holder,directory_url
AEON Mall Kinta City,ZUS COFFEE,F65,review,823,ZUSPRESSO (M) SDN BHD (1340330-X),https://aeonmallmy.com/page/mall/aeon-mall-kinta-city
AEON Mall Kinta City,SUKIYA,G16,review,31,NABE HOTPOT SDN BHD,https://aeonmallmy.com/page/mall/aeon-mall-kinta-city
AEON Mall Kinta City,SEOUL GARDEN,G21 & G22,certified,48,SEOUL GARDEN RESTAURANT SDN. BHD.,https://aeonmallmy.com/page/mall/aeon-mall-kinta-city
AEON Mall Kinta City,BOOST JUICE,GK01,uncertified,0,,https://aeonmallmy.com/page/mall/aeon-mall-kinta-city
AEON Mall Kinta City,RICHEESE FACTORY,G17,certified,90,RICHEESE FACTORY MALAYSIA SDN. BHD.,https://aeonmallmy.com/page/mall/aeon-mall-kinta-city
AEON Mall Kinta City,HAPPY POTATO,KF-02,certified,22,HAPPY POTATO VENTURES SDN BHD,https://aeonmallmy.com/page/mall/aeon-mall-kinta-city
AEON Mall Kinta City,BAHULU PERAK,F48,uncertified,0,,https://aeonmallmy.com/page/mall/aeon-mall-kinta-city
AEON Mall Kota Bharu,BLACK CANYON,G32,uncertified,0,,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,THE COFFEE BEAN & TEA LEAF,G37,uncertified,0,,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,NANDO’S,G38,certified,9,NANDO'S CHICKENLAND MALAYSIA SENDIRIAN BERHAD,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,BASKIN ROBBINS,G39,uncertified,0,,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,TEXAS CHICKEN,G41,certified,104,TEXAS CHICKEN (MALAYSIA) SDN BHD,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,SECRET RECIPE & HOKKAIDO BAKED CHEESE TART,G43,certified,342,SECRET RECIPE CAKES & CAFE SDN BHD,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,AUNTIE ANNE’S,KG11,uncertified,0,,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,SWEETLY,KG7,uncertified,0,,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,EMPIRE SUSHI,KG9,certified,159,EMPIRE SUSHI SDN. BHD.,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
