mall,outlet,lot,status,myehalal_matches,cert_holder,directory_url
AEON Mall Kota Bharu,MEE TARIK WARISAN,S27,review,3,JJ FOOD & BEVERAGE GROUP SDN BHD,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,PENYET PENYET.COM,S30,uncertified,0,,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,BOAT NOODLE,S42,certified,34,AROIVER BOAT NOODLE,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,THE CHICKEN RICE SHOP,S43,uncertified,0,,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,SUSHI KING,S46,certified,143,SUSHI KING (EAST MALAYSIA) SDN. BHD.,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,TEALIVE,S48A,review,877,LOOB INTEGRATED SDN BHD,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,JUICE WORKS,S49,uncertified,0,,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,HOT & ROLL,S51,certified,10,HOT & ROLL HOLDINGS SDN BHD,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,FOOD AVENUE OPERATOR,S52,uncertified,0,,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,A&W,G33,review,108,ABE WAN GLOBAL SDN BHD,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,LLAO LLAO,KG10,review,133,PETRA EMPIRE SDN BHD,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,DAILY FRESH,KS3,certified,1,J & J BAKERY DAILY FRESH,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,ROTI BOY,KG8,uncertified,0,,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,NASKEN COFFEE,KF 5,certified,7,NASKEN INTERNATIONAL SDN. BHD,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,BANANA BRO,S28,review,5,HTFU RESTAURANTS SDN. BHD.,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,COOLBLOG,KS05,certified,161,COOLBLOG ENTERPRISE SDN BHD,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,4 FINGERS CRISPY CHICKEN,S31,uncertified,0,,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
AEON Mall Kota Bharu,CHATRAMUE,S32,review,70,GREY HERON SDN BHD,https://aeonmallmy.com/page/mall/aeon-mall-kota-bharu
